Latitude,Longitude,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,PropertyGFABuilding(s)(%),ENERGYSTARScore,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ComplianceStatus,AgeBuilt,Source_principale,Source_secondaire,Source_tertiaire,TotalGHGEmissions
47.66852,-122.38175,9500.0,8196.0,6700.0,100.0,,NonResidential,Mixed Use Property,98107.0,6,Ballard,1.0,3,Strip Mall,Office,Multifamily Housing,Compliant,107,NaturalGas(kBtu),Electricity(kBtu),None,60.67
47.719,-122.29966,37500.0,0.0,0.0,100.0,58.0,NonResidential,Small- and Mid-Sized Office,98125.0,5,North,1.0,2,Office,None,None,Compliant,85,Electricity(kBtu),NaturalGas(kBtu),None,44.26
47.73143,-122.32784,23983.0,0.0,0.0,100.0,61.0,NonResidential,K-12 School,98125.0,5,Northwest,1.0,3,K-12 School,None,None,Compliant,86,Electricity(kBtu),NaturalGas(kBtu),None,33.28
47.55832,-122.35239,20100.0,3500.0,0.0,100.0,22.0,NonResidential,Distribution Center,98106.0,1,Delridge,1.0,1,Distribution Center,Non-Refrigerated Warehouse,None,Compliant,36,NaturalGas(kBtu),Electricity(kBtu),None,30.49
47.66665,-122.31818,51515.0,0.0,0.0,100.0,5.0,NonResidential,K-12 School,98105.0,4,Northeast,3.0,2,K-12 School,None,None,Compliant,12,NaturalGas(kBtu),Electricity(kBtu),None,128.66
47.68582,-122.33709,24052.0,23501.0,9561.0,59.132,,NonResidential,Mixed Use Property,98103.0,6,Northwest,1.0,3,Parking,Office,Retail Store,Compliant,20,Electricity(kBtu),None,None,17.08
47.65843,-122.38435,18000.0,2294.0,0.0,100.0,,NonResidential,Other,98199.0,7,Magnolia / Queen Anne,1.0,2,Other,Office,None,Compliant,59,NaturalGas(kBtu),Electricity(kBtu),None,67.45
47.65708,-122.38383,24008.0,0.0,0.0,73.259,64.0,NonResidential,Small- and Mid-Sized Office,98199.0,7,Magnolia / Queen Anne,1.0,4,Office,None,None,Compliant,33,Electricity(kBtu),None,None,8.97
47.65649,-122.38383,41707.0,12000.0,0.0,62.455,78.0,NonResidential,Small- and Mid-Sized Office,98199.0,7,Magnolia / Queen Anne,1.0,4,Office,Parking,None,Compliant,33,Electricity(kBtu),None,None,12.24
47.65118,-122.37875,20176.0,19440.0,15490.0,100.0,,NonResidential,Mixed Use Property,98119.0,7,Magnolia / Queen Anne,1.0,2,Office,Other - Services,Non-Refrigerated Warehouse,Compliant,56,Electricity(kBtu),NaturalGas(kBtu),None,42.87
47.64913,-122.37929,25547.0,13950.0,0.0,100.0,9.0,NonResidential,Warehouse,98119.0,7,Magnolia / Queen Anne,1.0,2,Non-Refrigerated Warehouse,Office,None,Compliant,61,Electricity(kBtu),NaturalGas(kBtu),None,28.28
47.6303,-122.3142,53776.0,0.0,0.0,100.0,,Nonresidential COS,Other,98112.0,3,East,1.0,1,Other - Entertainment/Public Assembly,None,None,Compliant,84,NaturalGas(kBtu),Electricity(kBtu),None,121.9
